Sl. No.,State/UT,"Population Category - Very Small Cities (< 20,000)","Population Category - Small Cities (20,000 < 50,000)","Population Category - Medium Cities (50,000 < 3 lakh)",Population Category - Big Cities (3 lakh < 10 lakh),Population Category - Million plus Cities (10 lakh or more),Total
1,Andaman and Nicobar Islands,0,0,1,0,0,1
2,Andhra Pradesh,0,49,67,6,2,124
3,Arunachal Pradesh,44,3,1,0,0,48
4,Assam,57,25,13,1,0,96
5,Bihar,70,125,63,4,1,263
6,Chandigarh,0,0,0,1,0,1
7,Chhattisgarh,123,30,12,3,1,169
8,Dadra and Nagar Haveli and Daman and Diu,0,2,1,0,0,3
9,Delhi,0,0,2,0,1,3
10,Goa,8,4,2,0,0,14
11,Gujarat,31,74,51,4,4,164
12,Haryana,24,36,25,4,1,90
13,Himachal Pradesh,59,7,2,0,0,68
14,Jammu and Kashmir,60,13,5,1,1,80
15,Jharkhand,6,24,17,1,2,50
16,Karnataka,121,129,55,10,1,316
17,Kerala,2,54,33,5,0,94
18,Ladakh,1,1,0,0,0,2
19,Madhya Pradesh,212,110,56,1,4,383
20,Maharashtra,163,165,66,17,10,421
21,Manipur,21,5,1,0,0,27
22,Meghalaya,5,3,2,0,0,10
23,Mizoram,21,5,2,0,0,28
24,Nagaland,31,6,2,0,0,39
25,Odisha,51,41,19,4,0,115
26,Puducherry,0,1,3,1,0,5
27,Punjab,83,44,35,2,2,166
28,Rajasthan,67,117,47,9,2,242
29,Sikkim,6,0,1,0,0,7
30,Tamil Nadu,410,158,71,9,3,651
31,Telangana,40,60,40,2,1,143
32,Tripura,14,5,0,1,0,20
33,Uttar Pradesh,306,331,118,14,8,777
34,Uttarakhand,77,18,15,1,0,111
35,West Bengal,14,29,75,10,3,131
Total,Total,2127,1674,903,111,47,4862
